core_layer,corpus_tier,shortlist_id,system_name,paper_refs,artifact_path,artifact_kind,artifact_exists,pdf_path,pdf_exists,fulltext_path,fulltext_exists,meta_path,meta_exists,source_basis,next_action
anchor_core,Core,HC02,Generative Agents: Interactive Simulacra of Human Behavior,Park2023,assets/survey_paper/pdfs/phase1_core/01_Generative_Agents_Park2023.pdf,pdf,True,assets/survey_paper/pdfs/phase1_core/01_Generative_Agents_Park2023.pdf,True,assets/survey_paper/pdfs/phase1_core/01_Generative_Agents_Park2023.fulltext.md,True,assets/survey_paper/pdfs/phase1_core/01_Generative_Agents_Park2023.meta.json,True,local_pdf_and_reading_note,ready_for_closure_card
anchor_core,Core,HC03A,Concordia: Riverbend elections town configuration,Vezhnevets2023,assets/survey_paper/pdfs/phase1_core/05_Concordia_Vezhnevets2023.pdf,pdf,True,assets/survey_paper/pdfs/phase1_core/05_Concordia_Vezhnevets2023.pdf,True,assets/survey_paper/pdfs/phase1_core/05_Concordia_Vezhnevets2023.fulltext.md,True,assets/survey_paper/pdfs/phase1_core/05_Concordia_Vezhnevets2023.meta.json,True,local_pdf_ocr_and_adjudication_memo,ready_for_closure_card
anchor_core,Core,HC03B,Concordia: phone-calendar digital action-space configuration,Vezhnevets2023,assets/survey_paper/pdfs/phase1_core/05_Concordia_Vezhnevets2023.pdf,pdf,True,assets/survey_paper/pdfs/phase1_core/05_Concordia_Vezhnevets2023.pdf,True,assets/survey_paper/pdfs/phase1_core/05_Concordia_Vezhnevets2023.fulltext.md,True,assets/survey_paper/pdfs/phase1_core/05_Concordia_Vezhnevets2023.meta.json,True,local_pdf_ocr_and_adjudication_memo,ready_for_closure_card
anchor_core,Core,HC04,Affordable Generative Agents,Yu2024,assets/survey_paper/pdfs/phase1_core/02_Affordable_Generative_Agents_Yu2024.pdf,pdf,True,assets/survey_paper/pdfs/phase1_core/02_Affordable_Generative_Agents_Yu2024.pdf,True,assets/survey_paper/pdfs/phase1_core/02_Affordable_Generative_Agents_Yu2024.fulltext.md,True,assets/survey_paper/pdfs/phase1_core/02_Affordable_Generative_Agents_Yu2024.meta.json,True,local_pdf_and_reading_note,ready_for_closure_card
anchor_core,Core,HC05,Artificial Leviathan: Exploring Social Evolution of LLM Agents Through the Lens of Hobbesian Social Contract Theory,Dai2024,assets/survey_paper/pdfs/phase1_core/04_Artificial_Leviathan_Dai2024.pdf,pdf,True,assets/survey_paper/pdfs/phase1_core/04_Artificial_Leviathan_Dai2024.pdf,True,assets/survey_paper/pdfs/phase1_core/04_Artificial_Leviathan_Dai2024.fulltext.md,True,assets/survey_paper/pdfs/phase1_core/04_Artificial_Leviathan_Dai2024.meta.json,True,local_pdf_and_reading_note,ready_for_closure_card
anchor_core,Core,HC06,Project Sid: Many-agent simulations toward AI civilization,Altera2024,assets/survey_paper/pdfs/phase1_core/03_Project_Sid_Altera2024.pdf,pdf,True,assets/survey_paper/pdfs/phase1_core/03_Project_Sid_Altera2024.pdf,True,assets/survey_paper/pdfs/phase1_core/03_Project_Sid_Altera2024.fulltext.md,True,assets/survey_paper/pdfs/phase1_core/03_Project_Sid_Altera2024.meta.json,True,local_pdf_ocr_and_reading_note,ready_for_closure_card
anchor_core,Core,HC07,OASIS: Open Agent Social Interaction Simulations with One Million Agents,Yang2024_OASIS,assets/survey_paper/pdfs/phase1_core/06_OASIS_Yang2024.pdf,pdf,True,assets/survey_paper/pdfs/phase1_core/06_OASIS_Yang2024.pdf,True,assets/survey_paper/pdfs/phase1_core/06_OASIS_Yang2024.fulltext.md,True,assets/survey_paper/pdfs/phase1_core/06_OASIS_Yang2024.meta.json,True,local_pdf_and_boundary_note,ready_for_closure_card
anchor_core,Core,HC08,Lyfe Agents: Generative agents for low-cost real-time social interactions,LyfeAgents2023,assets/survey_paper/pdfs/phase1_core/09_HC08_Lyfe_Agents.pdf,pdf,True,assets/survey_paper/pdfs/phase1_core/09_HC08_Lyfe_Agents.pdf,True,assets/survey_paper/pdfs/phase1_core/09_HC08_Lyfe_Agents.fulltext.md,True,assets/survey_paper/pdfs/phase1_core/09_HC08_Lyfe_Agents.meta.json,True,local_pdf_fulltext_closure_card,ready_for_closure_card
anchor_core,Core,HC09,Spontaneous Emergence of Agent Individuality Through Social Interactions in Large Language Model-Based Communities,SpontaneousEmergence2024,assets/survey_paper/pdfs/phase1_core/10_HC09_Spontaneous_Emergence.pdf,pdf,True,assets/survey_paper/pdfs/phase1_core/10_HC09_Spontaneous_Emergence.pdf,True,assets/survey_paper/pdfs/phase1_core/10_HC09_Spontaneous_Emergence.fulltext.md,True,assets/survey_paper/pdfs/phase1_core/10_HC09_Spontaneous_Emergence.meta.json,True,local_pdf_fulltext_closure_card,ready_for_closure_card
anchor_core,Core,HC10,Real world community oriented high-definition social simulation: Combining reinforcement learning and large language models,RealWorldCommunity2026,assets/survey_paper/pdfs/phase1_core/11_HC10_Real_World_Community_Oriented.pdf,pdf,True,assets/survey_paper/pdfs/phase1_core/11_HC10_Real_World_Community_Oriented.pdf,True,assets/survey_paper/pdfs/phase1_core/11_HC10_Real_World_Community_Oriented.fulltext.md,True,assets/survey_paper/pdfs/phase1_core/11_HC10_Real_World_Community_Oriented.meta.json,True,local_pdf_fulltext_closure_card,ready_for_closure_card
