pdf_path,pdf_exists,fulltext_path,fulltext_exists,meta_path,meta_exists,page_count,text_char_count,source_group
assets/survey_paper/pdfs/phase1_adjacent/01_AgentSims_Lin2023.pdf,True,assets/survey_paper/pdfs/phase1_adjacent/01_AgentSims_Lin2023.fulltext.md,True,assets/survey_paper/pdfs/phase1_adjacent/01_AgentSims_Lin2023.meta.json,True,7,24235,phase1_adjacent
assets/survey_paper/pdfs/phase1_adjacent/02_SARAH_Ng2026.pdf,True,assets/survey_paper/pdfs/phase1_adjacent/02_SARAH_Ng2026.fulltext.md,True,assets/survey_paper/pdfs/phase1_adjacent/02_SARAH_Ng2026.meta.json,True,10,48260,phase1_adjacent
assets/survey_paper/pdfs/phase1_adjacent/03_StepGame_Spatial_Reasoning_Li2024.pdf,True,assets/survey_paper/pdfs/phase1_adjacent/03_StepGame_Spatial_Reasoning_Li2024.fulltext.md,True,assets/survey_paper/pdfs/phase1_adjacent/03_StepGame_Spatial_Reasoning_Li2024.meta.json,True,12,52036,phase1_adjacent
assets/survey_paper/pdfs/phase1_adjacent/04_SpatialVLM_Chen2024.pdf,True,assets/survey_paper/pdfs/phase1_adjacent/04_SpatialVLM_Chen2024.fulltext.md,True,assets/survey_paper/pdfs/phase1_adjacent/04_SpatialVLM_Chen2024.meta.json,True,29,82596,phase1_adjacent
assets/survey_paper/pdfs/phase1_adjacent/05_Reframing_Spatial_Reasoning_Evaluation_Li2024.pdf,True,assets/survey_paper/pdfs/phase1_adjacent/05_Reframing_Spatial_Reasoning_Evaluation_Li2024.fulltext.md,True,assets/survey_paper/pdfs/phase1_adjacent/05_Reframing_Spatial_Reasoning_Evaluation_Li2024.meta.json,True,8,37863,phase1_adjacent
assets/survey_paper/pdfs/phase1_adjacent/06_Language_Models_Represent_Space_Time_Gurnee2023.pdf,True,assets/survey_paper/pdfs/phase1_adjacent/06_Language_Models_Represent_Space_Time_Gurnee2023.fulltext.md,True,assets/survey_paper/pdfs/phase1_adjacent/06_Language_Models_Represent_Space_Time_Gurnee2023.meta.json,True,21,47419,phase1_adjacent
assets/survey_paper/pdfs/phase1_adjacent/07_BK04_NPC_Interaction.pdf,True,assets/survey_paper/pdfs/phase1_adjacent/07_BK04_NPC_Interaction.fulltext.md,True,assets/survey_paper/pdfs/phase1_adjacent/07_BK04_NPC_Interaction.meta.json,True,10,34654,phase1_adjacent
assets/survey_paper/pdfs/phase1_adjacent/08_BK05_Forum_Theatre_Training.pdf,True,assets/survey_paper/pdfs/phase1_adjacent/08_BK05_Forum_Theatre_Training.fulltext.md,True,assets/survey_paper/pdfs/phase1_adjacent/08_BK05_Forum_Theatre_Training.meta.json,True,5,16726,phase1_adjacent
assets/survey_paper/pdfs/phase1_adjacent/09_BK06_TongSIM.pdf,True,assets/survey_paper/pdfs/phase1_adjacent/09_BK06_TongSIM.fulltext.md,True,assets/survey_paper/pdfs/phase1_adjacent/09_BK06_TongSIM.meta.json,True,26,80787,phase1_adjacent
assets/survey_paper/pdfs/phase1_adjacent/10_BK07_S3_Social_Network_Simulation.pdf,True,assets/survey_paper/pdfs/phase1_adjacent/10_BK07_S3_Social_Network_Simulation.fulltext.md,True,assets/survey_paper/pdfs/phase1_adjacent/10_BK07_S3_Social_Network_Simulation.meta.json,True,18,60720,phase1_adjacent
